class,class_name,top-2-distribution,top-2-distribution,top-4-distribution,top-4-distribution,top-4-distribution,top-4-distribution,top-8-distribution,top-8-distribution,top-8-distribution,top-8-distribution,top-8-distribution,top-8-distribution,top-8-distribution,top-8-distribution
,,cluster 0 dist,cluster 1 dist,cluster 0 dist,cluster 1 dist,cluster 2 dist,cluster 3 dist,cluster 0 dist,cluster 1 dist,cluster 2 dist,cluster 3 dist,cluster 4 dist,cluster 5 dist,cluster 6 dist,cluster 7 dist
15,Class_15,0.3698630136986301,0.6301369863013698,0.3698630136986301,0.3972602739726027,0.0958904109589041,0.136986301369863,0.1917808219178082,0.0273972602739726,0.1506849315068493,0.2465753424657534,0.1506849315068493,0.0958904109589041,0.0273972602739726,0.1095890410958904
16,Class_16,0.42168674698795183,0.5783132530120482,0.42168674698795183,0.27710843373493976,0.0963855421686747,0.20481927710843373,0.21686746987951808,0.024096385542168676,0.18072289156626506,0.13253012048192772,0.14457831325301204,0.0963855421686747,0.024096385542168676,0.18072289156626506
17,Class_17,0.38372093023255816,0.6162790697674418,0.38372093023255816,0.3488372093023256,0.08139534883720931,0.18604651162790697,0.23255813953488372,0.046511627906976744,0.10465116279069768,0.22093023255813954,0.12790697674418605,0.08139534883720931,0.05813953488372093,0.12790697674418605
18,Class_18,0.453125,0.546875,0.453125,0.265625,0.03125,0.25,0.25,0.046875,0.15625,0.078125,0.1875,0.03125,0.0625,0.1875
19,Class_19,0.3939393939393939,0.6060606060606061,0.3939393939393939,0.30303030303030304,0.045454545454545456,0.25757575757575757,0.19696969696969696,0.030303030303030304,0.16666666666666666,0.15151515151515152,0.15151515151515152,0.045454545454545456,0.07575757575757576,0.18181818181818182
20,Class_20,0.4606741573033708,0.5393258426966292,0.4606741573033708,0.2247191011235955,0.0898876404494382,0.2247191011235955,0.3146067415730337,0.07865168539325842,0.06741573033707865,0.12359550561797752,0.10112359550561797,0.0898876404494382,0.0449438202247191,0.1797752808988764
21,Class_21,0.38372093023255816,0.6162790697674418,0.38372093023255816,0.36046511627906974,0.05813953488372093,0.19767441860465115,0.20930232558139536,0.05813953488372093,0.11627906976744186,0.18604651162790697,0.1744186046511628,0.05813953488372093,0.05813953488372093,0.13953488372093023
22,Class_22,0.4125,0.5875,0.4125,0.2875,0.0625,0.2375,0.225,0.0375,0.15,0.1125,0.175,0.0625,0.05,0.1875
23,Class_23,0.5569620253164557,0.4430379746835443,0.5569620253164557,0.3037974683544304,0.0379746835443038,0.10126582278481013,0.3670886075949367,0.02531645569620253,0.16455696202531644,0.20253164556962025,0.10126582278481013,0.0379746835443038,0.05063291139240506,0.05063291139240506
24,Class_24,0.4935064935064935,0.5064935064935064,0.4935064935064935,0.2857142857142857,0.11688311688311688,0.1038961038961039,0.15584415584415584,0.03896103896103896,0.2987012987012987,0.16883116883116883,0.11688311688311688,0.11688311688311688,0.025974025974025976,0.07792207792207792
